c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\common\ResponsiveWrapper.js: line 104, col 11, Warning - 'deltaY' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\BrevoStatisticsDashboard.js: line 7, col 3, Warning - 'CalendarIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\BrevoStatisticsDashboard.js: line 8, col 3, Warning - 'TrendingUpIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\BrevoStatisticsDashboard.js: line 9, col 3, Warning - 'TrendingDownIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\BrevoStatisticsDashboard.js: line 11, col 3, Warning - 'UsersIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\BrevoTemplatesManager.js: line 10, col 3, Warning - 'CheckCircleIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\BrevoTemplatesManager.js: line 13, col 3, Warning - 'FunnelIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\BrevoTemplatesManager.js: line 19, col 3, Warning - 'EyeSlashIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\ContactSelector.js: line 7, col 3, Warning - 'BriefcaseIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\ContactSelector.js: line 12, col 3, Warning - 'XMarkIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\ContactSelector.js: line 15, col 10, Warning - 'supabase' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\CreateEventModal.js: line 5, col 3, Warning - 'CalendarIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\EmployeeFolders.js: line 32, col 10, Warning - 'allFoldersNormalized' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\EmployeeFolders.js: line 32, col 32, Warning - 'setAllFoldersNormalized' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\EmployeeFolders.js: line 52, col 10, Warning - 'totalItems' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\EmployeeFolders.js: line 54, col 8, Warning - 'employeeCompanyIndex' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\EmployeeFolders.js: line 103, col 6, Warning - React Hook useEffect has a missing dependency: 'loadEmployeesOnly'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\EmployeeFolders.js: line 110, col 6, Warning - React Hook useEffect has a missing dependency: 'filters.companyId'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
